round,date,release,trap_ID,sample,species,gender,marking_status,n_adults,lat,long,day_collection,distance,ID
A,11/7/2019,11/6/2019,300-1,1,Ae. aegypti,male,marked,1,26.521164,-82.189434,1,300,1
A,11/11/2019,11/6/2019,300-1,1,Ae. aegypti,female,unmarked,1,26.521164,-82.189434,5,300,1
A,11/6/2019,11/6/2019,300-2,2,Ae. aegypti,male,marked,1,26.521139,-82.191752,0,300,2
A,11/6/2019,11/6/2019,300-2,2,Ae. aegypti,female,unmarked,1,26.521139,-82.191752,0,300,2
A,11/7/2019,11/6/2019,300-2,2,Ae. aegypti,female,unmarked,3,26.521139,-82.191752,1,300,2
A,11/8/2019,11/6/2019,300-2,2,Ae. aegypti,male,unmarked,1,26.521139,-82.191752,2,300,2
A,11/9/2019,11/6/2019,300-2,2,Ae. aegypti,female,unmarked,3,26.521139,-82.191752,3,300,2
A,11/10/2019,11/6/2019,300-2,2,Ae. aegypti,female,unmarked,1,26.521139,-82.191752,4,300,2
A,11/10/2019,11/6/2019,300-2,2,Ae. aegypti,male,unmarked,1,26.521139,-82.191752,4,300,2
A,11/11/2019,11/6/2019,300-2,2,Ae. aegypti,female,unmarked,1,26.521139,-82.191752,5,300,2
A,11/11/2019,11/6/2019,300-2,2,Ae. aegypti,male,unmarked,1,26.521139,-82.191752,5,300,2
A,11/6/2019,11/6/2019,300-3,3,Ae. aegypti,male,unmarked,9,26.525544,-82.192901,0,300,3
A,11/6/2019,11/6/2019,300-3,3,Ae. aegypti,female,unmarked,11,26.525544,-82.192901,0,300,3
A,11/7/2019,11/6/2019,300-3,3,Ae. aegypti,female,unmarked,6,26.525544,-82.192901,1,300,3
A,11/7/2019,11/6/2019,300-3,3,Ae. aegypti,male,unmarked,8,26.525544,-82.192901,1,300,3
A,11/8/2019,11/6/2019,300-3,3,Ae. aegypti,female,unmarked,5,26.525544,-82.192901,2,300,3
A,11/8/2019,11/6/2019,300-3,3,Ae. aegypti,male,unmarked,1,26.525544,-82.192901,2,300,3
A,11/9/2019,11/6/2019,300-3,3,Ae. aegypti,female,unmarked,3,26.525544,-82.192901,3,300,3
A,11/10/2019,11/6/2019,300-3,3,Ae. aegypti,female,unmarked,6,26.525544,-82.192901,4,300,3
